"Year","Country","GDP per Capita","R&D","ExpEd","EngSciAvl","HighTech","Exports","Imports","FDI","GCP","Openness","Internet","Patents","EcoFreed","LaborFor"
"2012","US","2.2495458509774","2.68166","","5.42","172387240523","13.528918971166","17.039264973664","11.789671768934","20.020889847903","30.56818394483","29.4589","268782","76.3","63.046001434326"
"2013","US","1.8420810701195","2.70972","4.931049823761","5.35","172145368079","13.54452443065","16.468482783025","1.7166135759424","20.413743132208","30.013007213675","30.3514","287831","76","62.500999450684"
"2014","US","2.5259734504071","2.71924","4.9617400169373","5.32","179263970137","13.531590400314","16.427997422204","1.4369466981805","20.806247168447","29.959587822518","30.6929","285096","75.5","62.195999145508"
"2015","US","2.9080218612834","2.71742","","5.42","178349526944","12.43291493401","15.322240254668","2.8062677322629","21.178741266874","27.755155188679","31.8538","288335","76.2","62.006999969482"
"2016","US","1.6378384570389","2.76145","","5.53","176668196714","11.900500647478","14.639015639051","2.5348063066271","20.447651985319","26.539516286529","32.7312","295327","75.4","62.158000946045"
"2017","US","2.3698007844042","2.81741","","5.75","156937052150","12.165156887204","15.011219358154","1.8801595882266","20.571659612099","27.176376245357","33.9951","293904","75.1","62.293998718262"
"2018","US","2.9273257323297","2.83766","","","156365524736","12.287096055245","15.248491917248","1.270553789893","21.072479743609","27.535587972493","35.6063","285095","75.7","62.312999725342"
"2019","US","2.1611762882992","","","","156361791913","11.73295611216","14.581197436168","1.6405883090114","21.014288749626","26.314153548327","34.6719","","76.8","62.048999786377"
"2012","Germany","0.4184975942176","2.86813","4.9565801620483","4.53","204071158697","46.30712014308","40.206934735968","1.8553072826346","19.715988358328","86.514054879048","34.5261","46620","71","59.942001342773"
"2013","Germany","0.43759130314467","2.82105","4.9611101150513","4.92","210129818072","45.418677859391","39.660198836858","1.8002762693752","20.053746420759","85.078876696249","35.2845","47353","72.8","60.235000610352"
"2014","Germany","2.2095434313487","2.86691","4.9396200180054","4.92","216297040017","45.619263312872","39.000830079626","0.50176912851464","20.370290664508","84.620093392498","36.3078","48154","73.4","60.240001678467"
"2015","Germany","1.4919315276077","2.91197","4.8349800109863","4.98","199797306303","46.920738356608","39.325486256601","1.859895133179","19.742943248584","86.246224613209","37.5454","47384","73.8","60.083000183105"
"2016","Germany","2.2299998678201","2.91712","4.8402199745178","5.03","206133813845","46.073262854336","38.696383113113","1.8661235032895","19.967429515685","84.769645967449","38.9324","48480","74.4","60.314998626709"
"2017","Germany","2.601976004626","3.03763","4.9051198959351","5.15","195752362801","47.204174412398","40.207524249508","3.2103815371599","20.846355364954","87.411698661906","40.2044","47785","73.8","60.511001586914"
"2018","Germany","1.2679952322507","3.09415","","","210082307180","47.372549837475","41.223837373861","4.2372799889665","21.579455430058","88.596387211336","41.0854","46617","74.2","60.826999664307"
"2019","Germany","0.55545088794567","","","","208677809287","46.892912541134","41.096214899755","1.8702125264933","21.388846204027","87.98912744089","41.9933","","73.5","60.811000823975"
"2012","Australia","3.9181628709411","","4.8689999580383","4.31","5488081110","21.480828405997","21.729518265933","3.7221718736084","27.742557644162","43.210346671931","25.0394","2627","83.1","65.331001281738"
"2013","Australia","2.5848977015489","2.1787","5.2297401428223","4.61","5367019937","19.956167614936","21.252262731342","3.4258235802902","27.895791661432","41.208430346278","25.7193","3061","82.6","65.095001220703"
"2014","Australia","2.5331146653882","","5.1647701263428","4.72","5487641576","21.039454999281","21.467035338717","4.3063839544263","26.745635052204","42.506490337998","27.6991","1988","82","64.856002807617"
"2015","Australia","2.1926474264604","1.91943","5.311270236969","4.94","5123915237","19.984845509759","21.509527570154","3.469188226383","26.270696620278","41.494373079913","28.5302","2291","81.4","65.150001525879"
"2016","Australia","2.7706521973025","","5.276780128479","5.02","5406743775","19.251057075451","21.52658434866","3.555512756747","25.37197855862","40.77764142411","30.4805","2620","80.3","64.990997314453"
"2017","Australia","2.3006106235942","1.87372","5.1242499351502","4.89","4837243928","21.205750662034","20.612969686859","3.576703179364","24.056796213737","41.818720348894","32.2234","2503","81","65.234001159668"
"2018","Australia","2.9492857716096","","","","5274079796","21.821904617648","21.440743064872","4.2627036258224","24.528660146276","43.262647682521","33.7214","2757","80.9","65.653999328613"
"2019","Australia","2.16095629536","","","","6411061180","24.110965442366","21.59949402872","2.8695205498977","23.196888379048","45.710459471086","34.5413","","80.9","65.517997741699"
"2012","Japan","1.4950895859303","3.20908","3.6922600269318","5.74","5488081110","14.544752556383","16.091371132696","4.8948068898722","22.654423453179","30.636123689079","28.1353","287013","71.6","59.279998779297"
"2013","Japan","2.0002678411811","3.31496","3.6653800010681","5.49","5367019937","15.915398123438","18.232124133205","5.6497716806174","23.190909893087","34.147522256644","28.7721","271731","71.8","59.611999511719"
"2014","Japan","0.37471947635044","3.40022","3.5905900001526","5.44","5487641576","17.540301551347","20.005468245258","5.9120488914516","23.916100382193","37.545769796605","29.4838","265959","72.4","59.819000244141"
"2015","Japan","1.2229210410615","3.28165","","5.57","5123915237","17.610975536767","18.030045181828","4.147202285622","24.022669586189","35.641020718595","30.3727","258839","73.3","59.988998413086"
"2016","Japan","0.52194445548612","3.15522","3.1861801147461","5.51","5406743775","16.266395686425","15.275409439344","3.8928514265361","23.418503887312","31.541805125769","31.1557","260244","73.1","60.446998596191"
"2017","Japan","2.1682907373732","3.21254","3.1821799278259","5.32","4837243928","17.751852271141","16.821585887751","0.38633193007794","24.010042912826","34.573438158892","31.7895","260292","69.6","60.873001098633"
"2018","Japan","0.32320733790692","3.26451","","","5274079796","18.524908818909","18.291598545489","0.49660688583064","24.324547110307","36.816507364398","32.162","253630","72.3","61.882999420166"
"2019","Japan","0.65415165020252","","","","6411061180","","","0.73157258801867","","","32.162","","72.1","61.726001739502"
"2012","Israel","2.2572375569869","4.15735","","5.21","11565015000","36.049718817679","36.057805406931","3.5062193190492","21.312970040689","72.10752422461","25.4368","1319","67.8","63.555999755859"
"2013","Israel","4.1480545027137","4.09218","","5.25","11744185000","33.789986907802","31.918633308739","4.0467315576665","20.079214360006","65.708620216541","25.8958","1201","66.9","63.729999542236"
"2014","Israel","3.7582001633261","4.16793","","5.2","12408980000","32.324345967284","30.596631312656","1.9540412831042","20.594064123044","62.92097727994","27.1319","1125","68.4","64.153999328613"
"2015","Israel","2.2900921326161","4.25592","","5.21","13753939000","31.550377044486","28.259335576351","3.7810886852007","19.946508113081","59.809712620837","27.2357","1285","70.5","64.130996704102"
"2016","Israel","3.9820464192028","4.50574","","5.3","12199784000","29.992545685738","28.280731961565","3.7585757907178","21.099093169552","58.273277647304","27.8457","1300","70.7","64.225997924805"
"2017","Israel","3.5367031709702","4.81602","","5.34","12057719000","28.794580245931","27.596462990058","4.781977941638","21.477828638389","56.391043235989","28.4091","1436","69.7","64.106002807617"
"2018","Israel","3.4537025578821","4.95278","","","12971903000","29.791653007753","29.145390811294","5.8055040443745","21.7066300757","58.937043819048","28.7537","1506","72.2","64.083999633789"
"2019","Israel","3.4716882305138","","","","12564551000","29.318671521887","27.447544863233","4.8263000948915","21.356907968792","56.76621638512","29.1218","","72.8","64.041999816895"
"2012","China","7.8637364486497","1.91214","","4.44","593894382352","25.492522224496","22.775000142885","11.743021847093","46.225265595042","48.267522367381","25.6358","535313","51.2","70.768997192383"
"2013","China","7.76615009763","1.99786","","4.46","655996259990","24.599254436874","22.145121140438","7.9783369185414","46.398949336042","46.744375577312","26.2908","704936","51.9","70.483001708984"
"2014","China","7.425763656326","2.02963","","4.41","653870449086","23.510060907393","21.395155046957","9.0419492162961","45.823952757383","44.90521595435","27.3629","801135","52.5","70.167999267578"
"2015","China","7.0413288787719","2.0656","","4.47","652237382663","21.354079882823","18.110089452422","8.5598629407994","43.234806656206","39.464169335245","28.2251","968252","52.7","69.824996948242"
"2016","China","6.8487622049384","2.11831","","4.68","594551851891","19.584380053661","17.310034963174","4.9227829282702","42.631376932397","36.894415016836","29.0386","1204981","52","69.429000854492"
"2017","China","6.9472007933067","2.14512","","4.68","654187610235","19.692276988261","17.940136252238","2.2118508160895","43.013297385856","37.6324132405","29.8754","1245709","57.4","68.984001159668"
"2018","China","6.7497738325418","2.18568","","","731890595214","19.112103536387","18.344140036576","1.6939052938262","43.793474598578","37.456243572963","30.5646","1393815","57.8","68.496002197266"
"2019","China","6.1101182876808","","","","715843469845","18.415193661905","17.264893421054","1.0863584906542","43.257937771535","35.680087082959","30.5646","","58.4","67.986999511719"
"2012","India","5.4563589507229","0.74399","3.8675000667572","5.04","13927179245","24.534430661418","31.259291067333","1.3129343373069","38.347424412269","55.793721728751","1.18363","9553","54.6","52.194999694824"
"2013","India","6.3861064009483","0.70642","3.8446700572967","5.03","17965366385","25.430861300519","28.413270646159","1.516275965365","34.023201889866","53.844131946678","1.16546","10669","55.2","51.728000640869"
"2014","India","7.4102276050885","0.70159","","4.36","18344917155","22.967963008117","25.95422273895","1.6956587856685","34.267799919454","48.922185747067","1.21565","12040","55.7","51.265998840332"
"2015","India","7.9962534441388","0.6931","","4.22","14615780664","19.813189125991","22.109724675521","2.0921157544742","32.116734654969","41.922913801513","1.29319","12579","54.6","50.807998657227"
"2016","India","8.2563058441893","0.67111","","4.57","14300754797","19.158234929104","20.924250822897","1.9373632000011","30.172690221509","40.082485752","1.40831","13199","56.2","50.340999603271"
"2017","India","7.0438208553706","0.66584","","4.63","15161028362","18.782685165765","21.940126113972","1.5065882862125","30.818978460717","40.722811279736","1.33386","14961","52.6","49.879001617432"
"2018","India","6.119586841366","0.64998","","","20273090235","19.852651428279","23.552318067411","1.5523364721447","31.698406111833","43.404969495689","1.3433","16289","54.5","49.419998168945"
"2019","India","4.1807276247511","","","","23643556632","18.414456724895","21.13560409198","1.7640952432671","29.667717698909","39.550060816875","1.44535","","55.2","49.292999267578"
"2012","Russia","4.0240861572098","1.02675","3.7931001186371","3.77","7797725492","26.907320339366","20.244070046429","2.2907963961976","24.553693354517","47.151390385796","14.5307","28701","50.5","62.69100189209"
"2013","Russia","1.7554221490937","1.02524","3.7638299465179","3.8","9309774146","25.845336826255","20.441812574244","3.0193979407185","23.271681987019","46.287149400499","16.4526","28765","51.1","62.582000732422"
"2014","Russia","0.73626722141557","1.07203","4.013879776001","4.06","10482099237","27.111097051752","20.690244211059","1.069876215093","22.390864228774","47.801341262812","17.2471","24072","51.9","62.622001647949"
"2015","Russia","-1.9727192263754","1.10076","3.8340299129486","4.06","11542728872","28.703389442924","20.655959868765","0.50260837379555","22.148725318159","49.359349311689","18.5409","29269","52.1","62.629001617432"
"2016","Russia","0.19369007172953","1.09728","3.7604401111603","4.13","11290145982","25.854482976917","20.663636862693","2.5484987338947","23.09542247311","46.51811983961","18.9452","26795","50.6","62.771999359131"
"2017","Russia","1.8257900635511","1.10656","4.6899099349976","4.25","10483802377","26.090880979757","20.785643357374","1.8140929436605","23.606755862165","46.876524337131","21.3724","22777","57.1","62.331001281738"
"2018","Russia","2.5363313014039","0.98988","","","10183007833","30.516794482632","20.616345661266","0.52617027904627","21.978675250598","51.133140143898","22.194","24926","58.2","62.25"
"2019","Russia","1.3418754406706","","","","10864829654","28.313043351832","20.761026515251","1.8810053857692","23.106316352874","49.074069867083","22.6422","","58.9","61.800998687744"
"2012","South Africa","2.2133548084844","0.73363","","3.36","2939307974","29.723879358395","31.175820076643","1.1672085325262","19.965972572532","60.899699435038","2.09567","608","62.7","53.04700088501"
"2013","South Africa","2.4852005003106","0.72488","","3.48","2717237923","30.971341123273","33.270418695468","2.2442364296034","21.163556946448","64.241759818741","3.00856","638","61.8","53.733001708984"
"2014","South Africa","1.8469916036572","0.77115","","3.54","2808161580","31.468645208263","32.965855904879","1.6504940168635","20.499493506677","64.434501113143","3.12831","802","62.5","54.053001403809"
"2015","South Africa","1.1937328012443","0.79846","5.9561901092529","3.4","2934141398","30.152888329641","31.464185147031","0.47891739863672","20.917957156304","61.617073476672","2.54457","889","62.6","55.38399887085"
"2016","South Africa","0.39908792955636","0.81882","5.942850112915","3.4","2398334402","30.580927998238","30.057260051479","0.74751225956036","19.160942955591","60.638188049717","2.04735","704","61.9","55.53099822998"
"2017","South Africa","1.4145126258506","0.83215","6.1130599975586","3.54","2198489231","29.627669370177","28.346225561014","0.58891593970681","18.806213454204","57.973894931192","1.97017","728","62.3","56.201999664307"
"2018","South Africa","0.7870555704951","","6.158989906311","","2268032625","29.907082604707","29.563251105532","1.5122534914178","17.940400488398","59.470333710239","2.39969","657","63","56"
"2019","South Africa","0.15258331666423","","6.5050501823425","","2043755596","29.85383927702","29.350696782365","1.3159038504246","17.589013570441","59.204536059385","2.13523","","58.3","56.016998291016"
"2012","Mexico","3.6423226794135","0.42096","5.1030998229981","4.01","57666698884","32.265567763724","33.501678059668","1.4613547440866","23.886555167709","65.767245823391","11.151","1294","65.3","61.43399810791"
"2013","Mexico","1.3540919615168","0.42503","4.6960501670837","4","58572112528","31.305652952083","32.459223664886","3.6945582957494","22.493383331255","63.76487661697","10.7281","1210","67","61.243999481201"
"2014","Mexico","2.8497732549069","0.43549","5.2606201171875","3.95","61551701430","31.873441309381","33.05191659248","2.2530096855649","21.871501785401","64.925357901862","10.8284","1246","66.8","60.638999938965"
"2015","Mexico","3.2931515283339","0.42986","5.235239982605","4.07","60285844432","34.524885842107","36.564204271354","3.0494423167784","23.313063299654","71.089090113461","12.1105","1364","66.4","60.755001068115"
"2016","Mexico","2.6305324245509","0.38801","4.90949010849","4.14","62455529343","37.042171084187","39.020038053624","3.5955937543418","23.621311944047","76.062209137811","13.0315","1310","65.2","60.671001434326"
"2017","Mexico","2.1131291354969","0.32829","4.5228199958801","4.18","69687047762","37.651568457708","39.464176046735","2.8501030830413","22.904972292696","77.115744504443","13.7454","1334","63.6","60.476001739502"
"2018","Mexico","2.1949920489605","0.31223","","","74886123830","39.259461252631","41.303838480369","3.0827334255557","22.730012954633","80.563299732999","14.643","1555","64.8","60.696998596191"
"2019","Mexico","-0.054527928044323","","","","75234337293","38.83232383106","39.082969611816","2.3138823887504","21.087739537678","77.915293442875","15.029","","64.7","60.680000305176"
"2012","Nepal","4.7811922575481","","3.7611699104309","3.23","816353","10.073892980232","33.584313684409","0.48778149398405","34.497074660325","43.658206664641","0.854484","4","50.2","83.121002197266"
"2013","Nepal","4.1288776763109","","3.4746499061584","3.39","1909800","10.689033876476","37.456925058303","0.38492546245071","37.321360174064","48.14595893478","1.15711","18","50.4","83.119003295898"
"2014","Nepal","5.9889846608802","","3.9930200576782","3.46","4400040","11.505077458387","40.750108040315","0.15199082211766","41.167806665343","52.255185498702","0.931399","10","50.1","83.138000488281"
"2015","Nepal","3.3229054393756","","3.7035899162292","3.48","2850013","11.621939744289","41.473327066661","0.24238048449391","39.057470902453","53.09526681095","1.12051","11","51.3","83.150001525879"
"2016","Nepal","0.58867849882252","","4.4409899711609","3.54","4241243","9.4683993971369","39.283044928675","0.5003151316776","33.881986464253","48.751444325812","0.822288","11","50.9","83.38500213623"
"2017","Nepal","8.2234994831546","","5.5183701515198","3.58","5993527","8.9883349269663","42.375112156581","0.77943029579515","46.817594258491","51.363447083547","1.82105","20","55.1","83.569999694824"
"2018","Nepal","6.7009954601701","","5.1020698547363","","","8.9071770861253","46.177401900393","0.23372800400544","53.901762795622","55.084578986518","2.8188","","54.1","83.700996398926"
"2019","Nepal","6.9912124396022","","","","","8.6682994393921","46.257621697592","0.605569184587","56.562259987049","54.925921136984","2.8188","","53.8","83.805000305176"
"2012","Nigeria","4.2300611751055","","","4.07","81309415","31.546587729792","12.985780318609","1.5521152063158","14.958825914451","44.532368048401","0.0085386","42","56.3","57.518001556396"
"2013","Nigeria","6.6713353928838","","","3.96","93865047","18.049906586889","12.998953374913","1.093559062874","14.903905927154","31.048859961802","0.00875902","50","55.1","55.098999023438"
"2014","Nigeria","6.3097186557238","","","3.78","150719079","18.43512606216","12.450067652921","0.85861194122527","15.802702773373","30.885193715081","0.00892265","","54.3","54.544998168945"
"2015","Nigeria","2.6526932954183","","","3.58","509929276","10.666309623647","10.666342247138","0.62944703442017","15.490104089464","21.332651870785","0.00866083","","55.6","53.911998748779"
"2016","Nigeria","-1.6168689499182","","","3.76","7388348","9.2181096984762","11.504409182246","1.0994026556259","15.366736145675","20.722518880723","0.0580398","85","57.5","53.192001342773"
"2017","Nigeria","0.8058866195427","","","3.8","18315636","13.171562100949","13.176036899962","0.93227732392738","15.474327651686","26.34759900091","0.0580668","100","57.1","53.180999755859"
"2018","Nigeria","1.922757341573","","","","41631961","15.4968891805","17.510944310365","0.50290357978801","19.813774795115","33.007833490865","0.0377614","120","58.5","53.118000030518"
"2019","Nigeria","2.2084292771582","","","","85424676","14.220926791244","19.802951040466","0.73620510704257","26.206547693028","34.023877831711","0.0377614","","57.3","52.907001495361"
